rank,citation,decision,basis,abstract_pillar,study_type,sample_desc,outcome_indicator,tech_indicator,finding_tech,finding_affluence,displacement,supports_decoupling,decoupling_category,verification,doi,openalex_id
571,Sobirov et al. (2024),included,full text,tech_material,"panel quantile regression (MMQR) with FMOLS, DOLS and Driscoll-Kraay","14 leading CO2-emitting countries in Asia, 1996-2020",CO2 emissions,ICT development (internet use); alternative energy use,ICT raises CO2 at higher quantiles (favourable only at the fifth quantile); renewable energy use lowers CO2,GDP raises CO2; inverted-U EKC supported,not tested,"mixed: ICT raises CO2 at most quantiles, renewables lower it (panel econometrics; Tier C group)",mixed,"Results: 'ICT had a detrimental impact on CO2 emissions in higher quantiles, whereas this connection was favorable and was statistically significant at the fifth quantile'; 'ICT technology decreases the environmental quality in Asian nations'",10.3390/su16062243,https://openalex.org/W4392562141
584,Singh & Eisenmenger (2010),excluded: not assessable (full text not retrievable; abstract absent or without the direction of the finding),title and abstract,,,,,,,,,,,"Founded by Immanuel Wallerstein, the 'world system' perspective offers a theoretical approach to discuss the origins, nature and consequences of western society that emerged after 1500 A.D.",10.20446/jep-2414-3197-26-4-57,https://openalex.org/W2605728354
589,Priewe (2022),"excluded: full text: analytical essay with scenario arithmetic, no empirical model or estimation",full text,tech_material,analytical essay with scenario arithmetic (GDP growth vs emission-intensity reduction),"global; Global North vs South; 1990-2018 descriptives (WDI, OWID)",GHG and CO2 emissions (production- and consumption-based descriptives),emission intensity of GDP (reduction rate i vs growth g),decarbonisation requires the emission-intensity reduction rate to exceed GDP growth; globally brown growth predominant (GHG +1.5%/yr 1990-2018),"zero growth per se not sufficient; both variables matter, intensity reduction more","CB exceed PB CO2 in advanced economies (EU-28 +21%, UK +41%, Sweden +66%, 2019)",n/a (no new estimation),,"p.19-20 (abstract and Section 1): 'Globally, brown growth is still predominant'; 'The reduction rate of the EI ... has to exceed approximately the GDP growth rate g in order to shrink GHG emissions'",10.4337/ejeep.2022.01.04,https://openalex.org/W4313170655
602,Plank et al. (2022),included,full text,tech_material,economy-wide material flow database and long-term analysis (stock-building materials),"177 countries, 1900-2016, 14 stock-building materials; four income groups","primary gross additions to stock (GAS_prim), raw material extraction for stock-building",none: decoupling tested directly (per-capita GAS_prim vs GDP across countries and time),no indication of development pathways substantially less material-intensive in stock-building than in the past,global GAS_prim grew exponentially largely in unison with GDP; per-capita GAS_prim and GDP decoupled only relatively,not_tested (China dominates global dynamics since the 1990s),relative_only,relative_only,"abstract (p.1): 'Across all countries, we find that per-capita GAS prim and GDP decoupled over time. However, we find no indications for novel economic development pathways which are substantially less material-intensive in terms of stock-building than in the past'",10.1016/j.resconrec.2021.106122,https://openalex.org/W4200342938
615,Papież et al. (2022),excluded: not assessable (full text not retrievable; abstract absent or without the direction of the finding),title only,,,,,,,,,,,[no abstract],10.1016/j.enpol.2022.113247,https://openalex.org/W4295677951
622,Naqvi (2021),included,full text,tech_material,sub-national panel (NUTS 2 regions) decoupling factors and event-study difference-in-differences on policy stringency,"EU NUTS 2 regions, 1995-2015 (EDGAR v5 grid emissions; ARDECO output)","eight emission types (CO2, N2O, CH4, NH3, NOx, PM10, PM2.5, SO2), territorial",none: decoupling tested directly; OECD Environmental Policy Stringency index as treatment,"strong environmental policies reduce emissions, heterogeneously by type and regional income",decoupling measured relative to regional output; most reductions achieved before 2008; post-2008 very weak decoupling or coupling,not tested (production-based),"mixed: relative decoupling before 2008, weak or none after",mixed,"abstract (p.1): 'Regions on average show decoupling of emissions from output but most of the emission reductions are achieved before the 2008 financial crisis. Post 2008, very weak decoupling and even coupling can be observed'",10.1016/j.jclepro.2021.129130,https://openalex.org/W3203648583
632,Hao (2020),included,abstract,displacement,Prais-Winsten regression with panel-corrected standard errors; descriptive trade balances,"89 countries, 1990-2015",production- and consumption-based CO2 emissions,none,"trade has benefited high-income countries by reducing their emissions, offset by increases in middle- and low-income countries where pollution-intensive goods are produced; the relationship has become increasingly unequal",coded from abstract,"trade has benefited high-income countries by reducing their emissions, offset by increases in middle- and low-income countries where pollution-intensive goods are produced; the relationship has become increasingly unequal",no (emissions displacement through trade),displacement,"abstract: This study aims to understand the uneven distribution of CO2 emissions between high-income countries (HICs) and middle and low-income countries (MLICs). In this paper, I expand on previous research by including additional measures of ecologically unequal exchange and I also identify the underlying causes to that exchange. I use both productionbased and consumption-based CO2 emissions as outcome measures. The descriptive statistics for 89 countries from 1990 to 2015 show that the HICs are net-exporters while the MLICs are net-importers of CO2 emissions, and the structural relationship has becom",10.1016/j.soscij.2019.01.009,https://openalex.org/W2911308729
667,Sadorsky (2020),excluded: not assessable (full text not retrievable; abstract absent or without the direction of the finding),title and abstract,,,,,,,,,,,"The 2008–2009 financial crisis, often referred to as the Great Recession, presented one of the greatest challenges to economies since the Great Depression of the 1930s. Before the financial crisis, and in response to the Kyoto Protocol, many countries were making great strides in increasing energy efficiency, reducing carbon dioxide (CO2) emission intensity and reducing their emissions of CO2. Dur",10.3390/su12093867,https://openalex.org/W3023039829
702,Cooray & Özmen (2024),excluded: full text: no explicit technology indicator (institutional-quality study),full text,tech_material,"extended STIRPAT with EKC, ridge and lasso regression; split by institutional strength","22 EU countries, 2002-2020",CO2 emissions,"none tested: institutional-quality variables are the focus; primary energy consumption, population density and urbanisation as determinants",not tested,"EKC framework; energy consumption, population density and urbanisation more important than institutions",not tested,n/a,,"abstract: 'variables such as population density, urbanization and energy consumption are more important determinants of carbon emissions in the European Union compared to institutional governance'",10.1007/s00181-024-02579-y,https://openalex.org/W4393126510
709,Giljum et al. (2016),included,full text,displacement,MRIO material-footprint accounting with production layer decomposition (EXIOBASE 3),"EU-28 final demand in global context, 1995-2011","material footprint (RMC) by material group, product group and country of origin",none,not tested,not modelled,share of EU material footprint extracted within EU territory fell from 68% (1995) to 35% (2011); by 2011 extraction in China for EU exports equalled extraction within the EU; only 13% of metal ores required by EU final demand extracted within the EU; supply chains increasingly located outside the EU,no (geographical shift of extraction outside the EU),displacement,"abstract (p.1): 'the share of materials extracted within the EU territory falling from 68 % in 1995 to 35 % in 2011. In 2011, raw materials extracted in China to produce exports to the EU already contributed an equal share to EU's material footprint as material extraction within the EU itself'",10.1186/s40008-016-0048-5,https://openalex.org/W2417137410
758,Mushafiq & Prusak (2023),included,full text,tech_material,panel ARDL and non-linear ARDL with EKC test; sub-samples clustered by material footprint (expectation-maximisation),"EU-27, 2000-2020 (Czech Republic lacks MF data)","GHG emissions per capita (territorial, Eurostat)",resource productivity (euro per kg of DMC); material footprint per capita (UNEP) as classifier,higher resource productivity lowers GHG in the full sample (short and long run); heterogeneous by MF cluster (long-run asymmetric effect only in high-MF countries; mixed in moderate-MF),EKC validated in moderate- and low-MF sub-samples only,not tested (territorial GHG); MF used only as a grouping variable,"mixed: efficiency lowers territorial GHG on average, conditional on material-footprint level",mixed,"Methods and material: 'Environmental degradation is measured through the total greenhouse gases, whereas the resource productivity itself is a measure available at EuroStat'; abstract: 'In full sample of EU-27, both symmetric and asymmetric methods show that the short run and long run increase of resource productivity lower the environmental degradation'",10.1007/s11356-023-26631-z,https://openalex.org/W4361299165
760,Rammelt & Ylla-Catala (2025),included,full text,displacement,"economy-wide material flow analysis (UN IRP Global Material Flows Database), income and decile clusters","187 countries plus rest of world, 1970-2024","raw material equivalents of trade (RTB), raw material consumption (RMC), domestic extraction",none,not tested,HICs consume 25.4% more RME than they extract; LICs 13.3% less; LICs export 6 t of RME to earn what HICs earn from 1 t (12.7 t for net-exporter LICs),"HICs accumulated 290 Gt of RME as net imports 1970-2024; UMICs, LMICs and LICs net-exported 164, 53.1 and 9.6 Gt; new phase of intensified disparities since 2015",no (net material transfers to high-income countries),displacement,"abstract (p.341): 'From 1970 to 2024, HICs accumulated 290 gigatons (Gt) of raw material equivalents (RMEs) as net imports, while upper-middle-income, lower-middle-income, and low-income countries net-exported 164 Gt, 53.1 Gt, and 9.6 Gt'; 'identifies a new phase of intensified disparities since 2015'",10.5195/jwsr.2025.1298,https://openalex.org/W4409540095
769,Alnafisah et al. (2024),included,abstract,tech_material,panel econometrics (innovation Kuznets curve),"six MENA countries, 1990-2019",CO2 emissions,patents (residents),patents raise CO2 with a significant negative quadratic term (inverted U),coded from abstract,not stated in abstract,mixed: inverted-U relation between patents and CO2,mixed,"abstract: This study investigates the relationship between technological innovation, renewable energy, economic growth, and carbon dioxide (CO2) emissions in a group of six specific Middle East and North Africa (MENA) countries from 1990 to 2019. The study utilizes the modified innovation environmental Kuznets curve model (ICC) theory to examine the potential existence of an inverted U-shaped curve between innovation and environmental quality in these selected MENA countries. Various econometric methods are employed to analyse the data. The results show a positive and significant impact of patents for r",10.3390/en17040904,https://openalex.org/W4391846548
789,Frodyma et al. (2020),included,abstract,tech_material,Tapio decoupling indices with k-medoids clustering,"141 countries, 25 years",fossil-fuel use measured as DMC and as material footprint,none: decoupling assessed directly; DMC vs MF compared,relative decoupling in most cases with DMC; absolute decoupling only in highly developed countries and only with DMC; decoupling states change more often under MF,coded from abstract,not stated in abstract,mixed: territorial (DMC) decoupling not confirmed by the material footprint,mixed,"abstract: This study offers an in-depth analysis of the decoupling of economic growth from fossil fuel use in 141 countries over the last 25 years. The study is based on the Tapio decoupling approach, and two methods of measuring fossil fuel use, i.e., domestic material consumption (DMC) and material footprint (MF), are applied. Groups of countries with similar decoupling patterns are identified through the k-medoids method. Next, the relationship between these patterns and the level of countries’ development is examined. The results reveal that using different measures of fossil fuel use yields differe",10.3390/en13246671,https://openalex.org/W3113007429
807,Wu et al. (2023),included,full text,tech_material,"MRIO decoupling analysis (EXIOBASE 3.6), production-, consumption- and technology-adjusted consumption-based GHG","44 economies, 2005-2015","GHG emissions (PBE, CBE, TCBE)",technology-adjusted consumption-based accounting (export emissions at global average sector intensity); GHG intensity,economies with lower or faster-falling GHG intensity show higher decoupling degree; TCBE credits efficiency,not modelled (decoupling index vs GDP / supply-chain value added),"developed economies show lower decoupling under CBE than PBE (Japan, Canada, Norway, Austria, Germany, Cyprus); dual pillar: displacement (5)",mixed,mixed,"p.17-18 (Section 3.2): 'Fifteen of the total forty-four individual economies achieved absolute decoupling from both PBEs and CBEs during 2005-2010, whereas only eight economies achieved absolute decoupling during 2010-2015'",10.1016/j.spc.2023.09.003,https://openalex.org/W4386514784
